"Participant","RT","ISI","Response_Type","Trial_Score","Total_Score","Threshold","Valid_Trial","Valid_Trial_Count","Stimulus_Size","Stimulus_X","Stimulus_Y","Stimulus_Orientation"
"S049",0.457961358642578,2.07413864135742,"slow",0,0,0.375,TRUE,1,0.390776842832565,664.144714355469,-216.153182983398,0.649448037147522
"S049",0.339147117669678,2.64405298233032,"fast",175,175,0.457961358642578,TRUE,2,0.585655808448792,-426.914154052734,-226.700012207031,0.961261749267578
"S049",0.339891133935547,2.19340896606445,"fast",170,345,0.398554238156128,TRUE,3,0.439218163490295,-510.301147460938,-322.112609863281,0.743144869804382
"S049",0.29891931204071,1.66748058795929,"fast",171,516,0.339891133935547,TRUE,4,0.478153228759766,-797.176025390625,-225.509124755859,-0.342020034790039
"S049",0.255075961820984,1.66152393817902,"fast",180,696,0.339519125802612,TRUE,5,0.649842202663422,543.544921875,-332.039398193359,-0.968147754669189
"S049",0.326717166845703,2.7730827331543,"fast",166,862,0.339147117669678,TRUE,6,0.669081270694733,-750.005981445312,-20.487024307251,0.580702841281891
"S049",0.329781184005737,1.52001881599426,"fast",165,1027,0.33293214225769,TRUE,7,0.652310609817505,500.807525634766,-118.450668334961,0.587785184383392
"S049",0.270326536505127,2.56287336349487,"fast",176,1203,0.329781184005737,TRUE,8,0.492826700210571,776.187316894531,-388.851104736328,0.997564077377319
"S049",0.271416829299927,1.71178317070007,"fast",176,1379,0.32824917542572,TRUE,9,0.373175472021103,-336.224884033203,139.866180419922,0.182235717773438
"S049",-1.58195710443726,3.33185720443726,"early",-100,1279,0.326717166845703,FALSE,9,0,0,0,0
"S049",0.308759658241272,1.14114034175873,"fast",168,1447,0.326717166845703,TRUE,10,0.656120955944061,-502.830902099609,-17.7791576385498,-0.777146100997925
"S049",0.270081109237671,2.84661889076233,"fast",175,1622,0.317738412543487,TRUE,11,0.48782867193222,658.862670898438,-131.376220703125,0.052335761487484
"S049",0.307218496704102,3.9926815032959,"fast",166,1788,0.308759658241272,TRUE,12,0.565162599086761,-579.281616210938,-140.674560546875,0.453990757465363
"S049",0.286091958618164,1.53050804138184,"fast",170,1958,0.307989077472687,TRUE,13,0.54220050573349,-585.440063476562,-242.663040161133,-0.906307697296143
"S049",0.404069100952148,1.91253089904785,"slow",0,1958,0.307218496704102,TRUE,14,0.477680683135986,717.9130859375,90.0767440795898,0.366501092910767
"S049",0.349508582687378,1.86709141731262,"slow",0,1958,0.307989077472687,TRUE,15,0.36923423409462,335.70751953125,-155.211074829102,0.173648446798325
"S049",0.321314303779602,1.6285856962204,"slow",0,1958,0.308759658241272,TRUE,16,0.316709935665131,313.686004638672,-166.249572753906,-0.725374639034271
"S049",0.318731706047058,1.08116829395294,"slow",0,1958,0.315036981010437,TRUE,17,0.618063628673553,628.350036621094,-141.340377807617,0.983254849910736
"S049",0.287104994528198,3.8794949054718,"fast",171,2129,0.318731706047058,TRUE,18,0.399499654769897,374.440612792969,-217.720520019531,0.79863578081131
"S049",0.336813998222351,1.11318600177765,"slow",0,2129,0.313745682144165,TRUE,19,0.682661831378937,-606.360778808594,-308.268890380859,-0.923879683017731
"S049",0.271098603494262,2.94580149650574,"fast",175,2304,0.318731706047058,TRUE,20,0.324102878570557,-452.976501464844,192.046585083008,-3.27825546264648e-07
"S049",0.291415537261963,2.89198446273804,"fast",170,2474,0.313745682144165,TRUE,21,0.539591073989868,586.205810546875,-208.089538574219,0.438371419906616
"S049",0.330986656515503,3.2357132434845,"slow",0,2474,0.308759658241272,TRUE,22,0.563275933265686,630.9306640625,-44.9025459289551,-0.782607972621918
